States,Districts,Talukas
Andhra Pradesh,Nicobar,Devgad
Arunachal Pradesh,North and Middle Andaman,Malwan
Assam,South Andaman,Sawantwadi
Bihar,Anantapur,Kudal
Chhattisgarh,Chittoor,Vengurla
Goa,East Godavari,Dodamarg
Gujarat,Guntur,Sangameshwar
Haryana,Kadapa,Lanja
Himachal Pradesh,Krishna,Rajapur
Jammu and Kashmir,Kurnool,Chiplun
Jharkhand,Prakasam,Guhagar
Karnataka,Sri Potti Sriramulu Nellore,Dapoli
Kerala,Srikakulam,Mandangad
Madhya Pradesh,Visakhapatnam,Khed
Maharashtra,Vizianagaram,Alibaug
Manipur,West Godavari,Murud
Meghalaya,Anjaw,Panvel
Mizoram,Changlang,Uran
Nagaland,East Kameng,Karjat
Odisha,East Siang,Khalapur
Punjab,Kamle,Mangaon
Rajasthan,Kra Daadi,Tala
Sikkim,Kurung Kumey,Roha
Tamil Nadu,Lohit,Sudhagad
Tripura,Longding,Mahad
Uttar Pradesh,Lower Dibang Valley,Poladpur
Uttarakhand,Lower Siang,Shrivardhan
West Bengal,Lower Subansiri,Mhasla
Telangana,Namsai,Andheri
Andaman and Nicobar,Papum Pare,Borivali
Chandigarh,Siang,Kalyan
Dadra and Nagar Haveli,Tawang,Murbad 
Daman and Diu,Tirap,Bhiwandi
Lakshadweep,Upper Dibang Valley,Shahapur
NCT Delhi,Upper Siang,Ulhasnagar
Puducherry,Upper Subansiri,Ambarnath
,West Kameng,Vasai 
,West Siang,Dahanu
,Baksa,Talasari
,Barpeta,Jawhar
,Bishwanath,Mokhada
,Bongaigaon,Vada
,Cachar,Vikramgad
,Charaideo,Igatpuri
,Chirang,Dindori 
,Darrang,Peth
,Dhemaji,Trimbakeshwar
,Dhubri,Kalwan
,Dibrugarh,Deola
,Dima Hasao,Surgana
,Goalpara,Baglan
,Golaghat,Malegaon
,Hailakandi,Nandgaon
,Hojai,Chandwad
,Jorhat,Niphad
,Kamrup,Sinnar 
,Kamrup Metropolitan,Yeola
,Karbi Anglong,Navapur
,Karimganj,Shahada
,Kokrajhar,Talode
,Lakhimpur,Akkalkuwa
,Majuli,Akrani
,Morigaon,Sakri 
,Nagaon,Sindkheda
,Nalbari,Shirpur
,Sivasagar,Jamner
,South Salmara-Mankachar,Erandol
,Sonitpur,Dharangaon
,Tinsukia,Bhusawal
,Udalguri,Raver
,West Karbi Anglong,Muktainagar
,Araria,Bodwad
,Arwal,Yawal
,Aurangabad,Amalner
,Banka,Parola
,Begusarai,Chopda
,Bhagalpur,Pachora
,Bhojpur,Bhadgaon
,Buxar,Chalisgaon
,Darbhanga,Chikhli
,East Champaran,Deulgaon Raja
,Gaya,Jalgaon Jamod
,Gopalganj,Sangrampur
,Jamui,Malkapur
,Jehanabad,Motala
,Kaimur,Nandura 
,Katihar,Khamgaon
,Khagaria,Shegaon
,Kishanganj,Mehkar
,Lakhisarai,Sindkhed Raja
,Madhepura,Lonar
,Madhubani,Akot
,Munger,Telhara
,Muzaffarpur,Balapur
,Nalanda,Patur 
,Nawada,Murtajapur
,Patna,Barshitakli 
,Purnia,Malegaon
,Rohtas,Risod
,Saharsa,Mangrulpir
,Samastipur,Karanja
,Saran,Manora 
,Sheikhpura,Bhatukali
,Sheohar,Nandgaon Khandeshwar
,Sitamarhi,Dharni
,Siwan,Chikhaldara
,Supaul,Achalpur
,Vaishali,Chandurbazar
,West Champaran,Morshi
,Chandigarh,Warud
,Balod,Daryapur
,Baloda Bazar,Anjangaon-Surji 
,Balrampur,Chandur
,Bastar,Dhamangaon
,Bemetara,Tiosa
,Bijapur,Deoli
,Bilaspur,Seloo 
,Dantewada,Arvi
,Dhamtari,Ashti 
,Durg,Karanja
,Gariaband,Hinganghat
,Janjgir-Champa,Samudrapur
,Jashpur,Nagpur
,Kabirdham (formerly Kawardha),Kamptee
,Kanker,Hingna
,Kondagaon,Katol
,Korba,Narkhed
,Koriya,Savner
,Mahasamund,Kalameshwar 
,Mungeli,Ramtek
,Narayanpur,Mouda
,Raigarh,Parseoni 
,Raipur,Umred
,Rajnandgaon,Kuhi 
,Sukma,Bhiwapur 
,Surajpur,Tumsar
,Surguja,Pauni
,Dadra and Nagar Haveli,Mohadi
,Daman,Sakoli
,Diu,Lakhni
,Central Delhi,Lakhandur 
,East Delhi,Tirora
,New Delhi,Goregaon 
,North Delhi,Arjuni Morgaon 
,North East Delhi,Amgaon
,North West Delhi,Salekasa
,Shahdara,Sadak Arjuni 
,South Delhi,Deori
,South East Delhi,Dhanora
,South West Delhi,Chamorshi 
,West Delhi,Mulchera
,North Goa,Desaiganj
,South Goa,Armori
,Ahmedabad,Kurkheda
,Amreli,Korchi
,Anand,Aheri
,Aravalli,Bhamragad
,Banaskantha,Sironcha
,Bharuch,Saoli
,Bhavnagar,Mul
,Botad,Ballarpur 
,Chhota Udaipur,Pombhurna
,Dahod,Gondpimpri
,Dang,Warora 
,Devbhoomi Dwarka,Chimur
,Gandhinagar,Bhadravati
,Gir Somnath,Bramhapuri
,Jamnagar,Nagbhid
,Junagadh,Sindewahi
,Kheda,Rajura
,Kutch,Korpana
,Mahisagar,Jivati
,Mehsana,Arni
,Morbi,Babhulgaon
,Narmada,Kalamb
,Navsari,Darwha
,Panchmahal,Digras
,Patan,Ner
,Porbandar,Pusad
,Rajkot,Umarkhed
,Sabarkantha,Mahagaon
,Surat,Kelapur
,Surendranagar,Ralegaon 
,Tapi,Ghatanji
,Vadodara,Wani
,Valsad,Maregaon
,Ambala,Zari Jamani
,Bhiwani,Ardhapur
,Charkhi Dadri,Mudkhed
,Faridabad,Bhokar 
,Fatehabad,Umri
,Gurgaon,Loha
,Hissar,Kandhar
,Jhajjar,Kinwat
,Jind,Himayatnagar
,Kaithal,Hadgaon
,Karnal,Mahur
,Kurukshetra,Deglur 
,Mahendragarh,Mukhed 
,Nuh,Dharmabad
,Palwal,Biloli
,Panchkula,Naigaon 
,Panipat,Sengaon
,Rewari,Kalamnuri
,Rohtak,Basmath
,Sirsa,Aundha Nagnath
,Sonipat,Sonpeth
,Yamuna Nagar,Gangakhed
,Bilaspur,Palam
,Chamba,Purna 
,Hamirpur,Sailu 
,Kangra,Jintur
,Kinnaur,Manwath
,Kullu,Pathri 
,Lahaul and Spiti,Bhokardan
,Mandi,Jafrabad 
,Shimla,Badnapur
,Sirmaur,Ambad
,Solan,Ghansawangi
,Una,Partur
,Anantnag,Mantha 
,Bandipora,Kannad
,Baramulla,Soegaon
,Badgam,Sillod
,Doda,Phulambri
,Ganderbal,Khuldabad 
,Jammu,Vaijapur 
,Kargil,Gangapur
,Kathua,Paithan
,Kishtwar,Ashti 
,Kulgam,Patoda
